"Métrica_Regulatoria","Importe_M_EUR"
"Exposición Bruta del Portfolio (Total Insured Value)",981.91967316812
"Pérdida Anual Esperada Bruta (Gross AAL)",38.7823770012936
"Pérdida Anual Esperada Neta (Net AAL)",29.6407455711929
"PML 100 Años (VaR 99.0%)",362.166965983645
"PML 200 Años (VaR 99.5% - Línea Base)",530.126863301783
"PML 200 Años (VaR 99.5% - Clima Estresado ORSA)",530.126863301783
"Capital de Solvencia Obligatorio Bruto (Gross SCR)",491.344486300489
"Capital de Solvencia Obligatorio Neto (Net SCR)",380.48611773059
"Margen de Riesgo Regulatorio (Risk Margin - Art. 77)",29.4806691780294
"Provisión Técnica Total (Gross Technical Provisions = AAL + RM)",68.263046179323
"Prima Comercial Cat Bond / Cobertura Paramétrica",7.85208520400064
